point,BUFF_DIST,NLCD240,landuse,textcl,area_ha
alabama,25,11,Water,clay loam,14.7961321
alabama,25,21,Developed,clay loam,23.1585178
alabama,25,23,Developed,clay loam,9.4965372
alabama,25,24,Developed,clay loam,3.6476514
alabama,25,31,Barren,clay loam,20.1493416
alabama,25,41,Forest,clay loam,145.3303528
alabama,25,42,Forest,clay loam,145.2992554
alabama,25,43,Forest,clay loam,35.504158
alabama,25,52,Grass/Pasture,clay loam,27.5526676
alabama,25,71,Grass/Pasture,clay loam,39.0423126
alabama,25,81,Grass/Pasture,clay loam,269.3561707
alabama,25,82,Crop,clay loam,110.5101089
alabama,25,90,Wetland,clay loam,16.7194786
alabama,25,11,Water,loam,97.4427338
alabama,25,21,Developed,loam,536.0211792
alabama,25,22,Developed,loam,175.1702423
alabama,25,23,Developed,loam,105.4223022
alabama,25,24,Developed,loam,9.3994818
alabama,25,31,Barren,loam,40.7785988
alabama,25,41,Forest,loam,3025.489014
alabama,25,42,Forest,loam,901.1715088
alabama,25,43,Forest,loam,525.6149292
alabama,25,52,Grass/Pasture,loam,932.6719971
alabama,25,71,Grass/Pasture,loam,818.1196899
alabama,25,81,Grass/Pasture,loam,4800.811035
alabama,25,82,Crop,loam,4782.818848
alabama,25,90,Wetland,loam,654.6439209
alabama,25,21,Developed,loamy sand,9.3968544
alabama,25,31,Barren,loamy sand,4.8881774
alabama,25,41,Forest,loamy sand,30.3034725
alabama,25,42,Forest,loamy sand,8.0170336
alabama,25,43,Forest,loamy sand,11.2275257
alabama,25,52,Grass/Pasture,loamy sand,7.9099274
alabama,25,71,Grass/Pasture,loamy sand,15.0763893
alabama,25,81,Grass/Pasture,loamy sand,74.9570465
alabama,25,82,Crop,loamy sand,44.6951981
alabama,25,90,Wetland,loamy sand,195.877533
alabama,25,41,Forest,sandy clay loam,2.9728036
alabama,25,42,Forest,sandy clay loam,0.2196607
alabama,25,11,Water,sandy loam,108.9281769
alabama,25,21,Developed,sandy loam,973.343689
alabama,25,22,Developed,sandy loam,293.0083923
alabama,25,23,Developed,sandy loam,177.3765869
alabama,25,24,Developed,sandy loam,82.7838898
alabama,25,31,Barren,sandy loam,36.9384956
alabama,25,41,Forest,sandy loam,7279.713379
alabama,25,42,Forest,sandy loam,1240.530396
alabama,25,43,Forest,sandy loam,863.1418457
alabama,25,52,Grass/Pasture,sandy loam,983.4636841
alabama,25,71,Grass/Pasture,sandy loam,438.6269531
alabama,25,81,Grass/Pasture,sandy loam,5779.878418
alabama,25,82,Crop,sandy loam,2007.689087
alabama,25,82,Crop,sandy loam,0.000002
alabama,25,90,Wetland,sandy loam,824.6243896
alabama,25,95,Wetland,sandy loam,4.0663996
alabama,25,11,Water,silt loam,1049.573731
alabama,25,11,Water,silt loam,0.0000034
alabama,25,21,Developed,silt loam,3155.854004
alabama,25,22,Developed,silt loam,1061.905762
alabama,25,23,Developed,silt loam,317.6583862
alabama,25,24,Developed,silt loam,49.0616264
alabama,25,31,Barren,silt loam,36.3056984
alabama,25,41,Forest,silt loam,20679.13477
alabama,25,41,Forest,silt loam,0.0000023
alabama,25,42,Forest,silt loam,3028.672119
alabama,25,43,Forest,silt loam,2084.184082
alabama,25,52,Grass/Pasture,silt loam,5003.075195
alabama,25,71,Grass/Pasture,silt loam,1411.04895
alabama,25,81,Grass/Pasture,silt loam,48688.82031
alabama,25,82,Crop,silt loam,16647.37109
alabama,25,90,Wetland,silt loam,7392.685059
alabama,25,95,Wetland,silt loam,1.7928057
alabama,25,11,Water,silty clay,49.7268219
alabama,25,21,Developed,silty clay,266.2059937
alabama,25,22,Developed,silty clay,71.8744278
alabama,25,23,Developed,silty clay,73.9459152
alabama,25,24,Developed,silty clay,20.9139538
alabama,25,31,Barren,silty clay,1.5596926
alabama,25,41,Forest,silty clay,868.6004028
alabama,25,42,Forest,silty clay,312.1646729
alabama,25,43,Forest,silty clay,183.7385101
alabama,25,52,Grass/Pasture,silty clay,467.4764709
alabama,25,71,Grass/Pasture,silty clay,88.095932
alabama,25,81,Grass/Pasture,silty clay,2468.366211
alabama,25,82,Crop,silty clay,1143.672607
alabama,25,90,Wetland,silty clay,712.569519
alabama,25,11,Water,silty clay loam,249.2045441
alabama,25,21,Developed,silty clay loam,848.62323
alabama,25,22,Developed,silty clay loam,438.002533
alabama,25,23,Developed,silty clay loam,254.944519
alabama,25,24,Developed,silty clay loam,29.8087845
alabama,25,31,Barren,silty clay loam,47.1111832
alabama,25,41,Forest,silty clay loam,2256.157715
alabama,25,41,Forest,silty clay loam,0.0000023
alabama,25,42,Forest,silty clay loam,886.9031372
alabama,25,43,Forest,silty clay loam,451.5404663
alabama,25,52,Grass/Pasture,silty clay loam,1013.34137
alabama,25,71,Grass/Pasture,silty clay loam,438.9545898
alabama,25,81,Grass/Pasture,silty clay loam,8217.270508
alabama,25,82,Crop,silty clay loam,5307.126953
alabama,25,82,Crop,silty clay loam,0.000002
alabama,25,90,Wetland,silty clay loam,734.2233887
alabama,25,95,Wetland,silty clay loam,3.7789392
alabama,25,11,Water,,16563.47266
alabama,25,11,Water,,0.0000034
alabama,25,21,Developed,,67.4304123
alabama,25,22,Developed,,22.4330101
alabama,25,23,Developed,,39.2388878
alabama,25,24,Developed,,9.2859058
alabama,25,31,Barren,,15.9875517
alabama,25,41,Forest,,410.291748
alabama,25,42,Forest,,149.0254669
alabama,25,43,Forest,,31.5447788
alabama,25,52,Grass/Pasture,,72.1528702
alabama,25,71,Grass/Pasture,,27.219862
alabama,25,81,Grass/Pasture,,175.3801575
alabama,25,82,Crop,,105.956955
alabama,25,90,Wetland,,329.0932617
alabama,25,95,Wetland,,0.1882561
alabama,50,21,Developed,clay loam,6.3603549
alabama,50,41,Forest,clay loam,69.1491013
alabama,50,42,Forest,clay loam,29.9890003
alabama,50,43,Forest,clay loam,52.7474899
alabama,50,52,Grass/Pasture,clay loam,7.9442234
alabama,50,71,Grass/Pasture,clay loam,12.7408257
alabama,50,81,Grass/Pasture,clay loam,235.0965118
alabama,50,82,Crop,clay loam,149.8939056
alabama,50,90,Wetland,clay loam,12.7788401
alabama,50,11,Water,loam,66.0265656
alabama,50,21,Developed,loam,1096.450195
alabama,50,22,Developed,loam,400.9623108
alabama,50,23,Developed,loam,80.4817505
alabama,50,24,Developed,loam,15.5147133
alabama,50,31,Barren,loam,20.0856152
alabama,50,41,Forest,loam,16838.31641
alabama,50,42,Forest,loam,4450.439941
alabama,50,43,Forest,loam,2555.679199
alabama,50,52,Grass/Pasture,loam,2423.108154
alabama,50,71,Grass/Pasture,loam,724.6861572
alabama,50,81,Grass/Pasture,loam,11133.52148
alabama,50,81,Grass/Pasture,loam,0.0000044
alabama,50,81,Grass/Pasture,loam,0.0000146
alabama,50,82,Crop,loam,1312.696899
alabama,50,90,Wetland,loam,916.7883301
alabama,50,21,Developed,loamy sand,5.2541013
alabama,50,41,Forest,loamy sand,17.0939884
alabama,50,42,Forest,loamy sand,15.0914869
alabama,50,43,Forest,loamy sand,1.340695
alabama,50,81,Grass/Pasture,loamy sand,13.4877472
alabama,50,82,Crop,loamy sand,5.0703917
alabama,50,90,Wetland,loamy sand,55.2808533
alabama,50,11,Water,sandy clay loam,0.0000142
alabama,50,21,Developed,sandy clay loam,5.0349183
alabama,50,22,Developed,sandy clay loam,4.0194392
alabama,50,23,Developed,sandy clay loam,1.0551337
alabama,50,41,Forest,sandy clay loam,25.2770844
alabama,50,42,Forest,sandy clay loam,19.7772617
alabama,50,43,Forest,sandy clay loam,19.940239
alabama,50,52,Grass/Pasture,sandy clay loam,5.8933811
alabama,50,71,Grass/Pasture,sandy clay loam,0.0006967
alabama,50,81,Grass/Pasture,sandy clay loam,60.2384682
alabama,50,82,Crop,sandy clay loam,3.6832924
alabama,50,90,Wetland,sandy clay loam,0.1691948
alabama,50,11,Water,sandy loam,419.7518616
alabama,50,21,Developed,sandy loam,2815.344971
alabama,50,21,Developed,sandy loam,0.000001
alabama,50,22,Developed,sandy loam,1938.561768
alabama,50,23,Developed,sandy loam,657.1419067
alabama,50,24,Developed,sandy loam,150.7320099
alabama,50,31,Barren,sandy loam,130.8871002
alabama,50,41,Forest,sandy loam,45917.58984
alabama,50,42,Forest,sandy loam,17094.33398
alabama,50,43,Forest,sandy loam,10194.66016
alabama,50,52,Grass/Pasture,sandy loam,3931.363281
alabama,50,71,Grass/Pasture,sandy loam,1919.999634
alabama,50,81,Grass/Pasture,sandy loam,18568.46484
alabama,50,81,Grass/Pasture,sandy loam,0.0000044
alabama,50,81,Grass/Pasture,sandy loam,0.0000092
alabama,50,82,Crop,sandy loam,1834.980347
alabama,50,90,Wetland,sandy loam,1359.795776
alabama,50,11,Water,silt loam,1899.339356
alabama,50,21,Developed,silt loam,16412.26367
alabama,50,21,Developed,silt loam,0.000001
alabama,50,21,Developed,silt loam,0.0000347
alabama,50,22,Developed,silt loam,10022.48145
alabama,50,23,Developed,silt loam,2277.519775
alabama,50,24,Developed,silt loam,489.335907
alabama,50,31,Barren,silt loam,192.4022827
alabama,50,41,Forest,silt loam,96686.01563
alabama,50,41,Forest,silt loam,0.0000308
alabama,50,42,Forest,silt loam,10320.56836
alabama,50,43,Forest,silt loam,8242.000977
alabama,50,52,Grass/Pasture,silt loam,13586.78418
alabama,50,71,Grass/Pasture,silt loam,4611.193848
alabama,50,81,Grass/Pasture,silt loam,128786.9141
alabama,50,81,Grass/Pasture,silt loam,0.0000146
alabama,50,81,Grass/Pasture,silt loam,0.0000002
alabama,50,81,Grass/Pasture,silt loam,0.0000167
alabama,50,82,Crop,silt loam,35316.10156
alabama,50,90,Wetland,silt loam,11846.0293
alabama,50,95,Wetland,silt loam,20.7389908
alabama,50,11,Water,silty clay,33.7966156
alabama,50,21,Developed,silty clay,517.3023682
alabama,50,22,Developed,silty clay,183.76297
alabama,50,23,Developed,silty clay,62.4262123
alabama,50,24,Developed,silty clay,35.7284927
alabama,50,31,Barren,silty clay,33.3052673
alabama,50,41,Forest,silty clay,9215.202148
alabama,50,42,Forest,silty clay,1336.536865
alabama,50,43,Forest,silty clay,782.7584839
alabama,50,52,Grass/Pasture,silty clay,1685.418823
alabama,50,71,Grass/Pasture,silty clay,254.1116791
alabama,50,81,Grass/Pasture,silty clay,7663.842285
alabama,50,81,Grass/Pasture,silty clay,0.0000002
alabama,50,81,Grass/Pasture,silty clay,0.0000002
alabama,50,82,Crop,silty clay,709.7786255
alabama,50,90,Wetland,silty clay,1696.880737
alabama,50,11,Water,silty clay loam,316.8127747
alabama,50,21,Developed,silty clay loam,3338.710938
alabama,50,22,Developed,silty clay loam,2445.463867
alabama,50,23,Developed,silty clay loam,598.2739868
alabama,50,24,Developed,silty clay loam,232.7708282
alabama,50,31,Barren,silty clay loam,49.0875359
alabama,50,41,Forest,silty clay loam,7832.990234
alabama,50,41,Forest,silty clay loam,0.0000308
alabama,50,42,Forest,silty clay loam,2339.701416
alabama,50,43,Forest,silty clay loam,1659.735962
alabama,50,52,Grass/Pasture,silty clay loam,2665.557129
alabama,50,71,Grass/Pasture,silty clay loam,1193.765625
alabama,50,81,Grass/Pasture,silty clay loam,22052.92188
alabama,50,81,Grass/Pasture,silty clay loam,0.0000167
alabama,50,81,Grass/Pasture,silty clay loam,0.0000002
alabama,50,82,Crop,silty clay loam,10719.16895
alabama,50,90,Wetland,silty clay loam,2068.307617
alabama,50,95,Wetland,silty clay loam,3.6441264
alabama,50,11,Water,,11217.59473
alabama,50,21,Developed,,309.7846375
alabama,50,21,Developed,,0.0000347
alabama,50,22,Developed,,378.5378113
alabama,50,23,Developed,,239.3336029
alabama,50,24,Developed,,234.3569489
alabama,50,31,Barren,,52.2549782
alabama,50,41,Forest,,998.8273926
alabama,50,42,Forest,,339.0169983
alabama,50,43,Forest,,179.2571106
alabama,50,52,Grass/Pasture,,448.3100586
alabama,50,71,Grass/Pasture,,94.9494095
alabama,50,81,Grass/Pasture,,613.1969604
alabama,50,81,Grass/Pasture,,0.0000092
alabama,50,82,Crop,,460.8331909
alabama,50,90,Wetland,,1154.479736
alabama,50,95,Wetland,,27.3994312
alabama,75,21,Developed,clay loam,90.0530396
alabama,75,22,Developed,clay loam,44.4523048
alabama,75,23,Developed,clay loam,12.2684441
alabama,75,24,Developed,clay loam,6.0443625
alabama,75,31,Barren,clay loam,3.3304272
alabama,75,41,Forest,clay loam,102.2245865
alabama,75,42,Forest,clay loam,85.7224197
alabama,75,43,Forest,clay loam,39.885746
alabama,75,52,Grass/Pasture,clay loam,54.3707581
alabama,75,71,Grass/Pasture,clay loam,22.1903076
alabama,75,81,Grass/Pasture,clay loam,222.4382324
alabama,75,82,Crop,clay loam,62.5916595
alabama,75,90,Wetland,clay loam,2.5184567
alabama,75,11,Water,loam,223.5040894
alabama,75,21,Developed,loam,3054.998047
alabama,75,22,Developed,loam,1642.708374
alabama,75,23,Developed,loam,344.719635
alabama,75,24,Developed,loam,174.1694946
alabama,75,31,Barren,loam,109.2642899
alabama,75,41,Forest,loam,31936.32813
alabama,75,42,Forest,loam,7135.97168
alabama,75,43,Forest,loam,2819.765869
alabama,75,52,Grass/Pasture,loam,8147.438965
alabama,75,52,Grass/Pasture,loam,0.0000038
alabama,75,71,Grass/Pasture,loam,2218.464356
alabama,75,81,Grass/Pasture,loam,20321.33203
alabama,75,81,Grass/Pasture,loam,0.0000123
alabama,75,82,Crop,loam,2868.316895
alabama,75,90,Wetland,loam,402.1473999
alabama,75,95,Wetland,loam,1.1395277
alabama,75,11,Water,loamy sand,38.2387161
alabama,75,21,Developed,loamy sand,7.8747125
alabama,75,22,Developed,loamy sand,7.0324545
alabama,75,41,Forest,loamy sand,41.1138878
alabama,75,42,Forest,loamy sand,11.0234222
alabama,75,43,Forest,loamy sand,3.7301147
alabama,75,52,Grass/Pasture,loamy sand,7.3053441
alabama,75,71,Grass/Pasture,loamy sand,8.6073055
alabama,75,81,Grass/Pasture,loamy sand,52.8140221
alabama,75,82,Crop,loamy sand,23.3442822
alabama,75,90,Wetland,loamy sand,8.6276598
alabama,75,11,Water,sandy clay loam,4.7840548
alabama,75,21,Developed,sandy clay loam,10.0418367
alabama,75,22,Developed,sandy clay loam,5.0802159
alabama,75,41,Forest,sandy clay loam,198.8467102
alabama,75,42,Forest,sandy clay loam,68.116951
alabama,75,43,Forest,sandy clay loam,35.4758606
alabama,75,52,Grass/Pasture,sandy clay loam,82.8582077
alabama,75,71,Grass/Pasture,sandy clay loam,16.1326904
alabama,75,81,Grass/Pasture,sandy clay loam,117.9544754
alabama,75,82,Crop,sandy clay loam,10.4912901
alabama,75,90,Wetland,sandy clay loam,0.0415391
alabama,75,11,Water,sandy loam,1975.478027
alabama,75,21,Developed,sandy loam,9204.171875
alabama,75,22,Developed,sandy loam,3820.542725
alabama,75,23,Developed,sandy loam,849.3971558
alabama,75,24,Developed,sandy loam,241.6387634
alabama,75,31,Barren,sandy loam,314.7228699
alabama,75,41,Forest,sandy loam,148728.875
alabama,75,41,Forest,sandy loam,0.0001961
alabama,75,42,Forest,sandy loam,46317.08203
alabama,75,42,Forest,sandy loam,0.0000222
alabama,75,43,Forest,sandy loam,19359.23633
alabama,75,52,Grass/Pasture,sandy loam,29720.08203
alabama,75,52,Grass/Pasture,sandy loam,0.0000038
alabama,75,71,Grass/Pasture,sandy loam,9117.266602
alabama,75,81,Grass/Pasture,sandy loam,65371.07031
alabama,75,81,Grass/Pasture,sandy loam,0.0000123
alabama,75,82,Crop,sandy loam,7338.847168
alabama,75,90,Wetland,sandy loam,1814.464111
alabama,75,90,Wetland,sandy loam,0.0000209
alabama,75,95,Wetland,sandy loam,18.7071705
alabama,75,11,Water,silt loam,1426.891235
alabama,75,11,Water,silt loam,0.0000022
alabama,75,21,Developed,silt loam,16405.07227
alabama,75,21,Developed,silt loam,0.0000069
alabama,75,22,Developed,silt loam,10006.48047
alabama,75,23,Developed,silt loam,1999.537354
alabama,75,24,Developed,silt loam,801.9634399
alabama,75,31,Barren,silt loam,210.7000122
alabama,75,41,Forest,silt loam,154962.625
alabama,75,41,Forest,silt loam,0.0001961
alabama,75,41,Forest,silt loam,0.0006444
alabama,75,42,Forest,silt loam,21585.37305
alabama,75,43,Forest,silt loam,9204.771484
alabama,75,52,Grass/Pasture,silt loam,19971.28125
alabama,75,71,Grass/Pasture,silt loam,9235.750977
alabama,75,81,Grass/Pasture,silt loam,139520.4844
alabama,75,81,Grass/Pasture,silt loam,0.0000103
alabama,75,81,Grass/Pasture,silt loam,0.0000437
alabama,75,82,Crop,silt loam,42752.21484
alabama,75,90,Wetland,silt loam,8317.894531
alabama,75,90,Wetland,silt loam,0.0000209
alabama,75,95,Wetland,silt loam,168.3518829
alabama,75,11,Water,silty clay,313.2310791
alabama,75,11,Water,silty clay,0.0000022
alabama,75,21,Developed,silty clay,1921.405273
alabama,75,22,Developed,silty clay,1770.320068
alabama,75,23,Developed,silty clay,222.3476105
alabama,75,24,Developed,silty clay,71.7445755
alabama,75,31,Barren,silty clay,75.1493835
alabama,75,41,Forest,silty clay,16667.06836
alabama,75,42,Forest,silty clay,1587.566528
alabama,75,43,Forest,silty clay,1316.583374
alabama,75,43,Forest,silty clay,0.0001153
alabama,75,43,Forest,silty clay,0.0000273
alabama,75,52,Grass/Pasture,silty clay,1968.067017
alabama,75,71,Grass/Pasture,silty clay,429.401062
alabama,75,81,Grass/Pasture,silty clay,4808.897949
alabama,75,81,Grass/Pasture,silty clay,0.0000437
alabama,75,81,Grass/Pasture,silty clay,0.0001202
alabama,75,82,Crop,silty clay,1889.515015
alabama,75,90,Wetland,silty clay,125.911232
alabama,75,95,Wetland,silty clay,9.957737
alabama,75,11,Water,silty clay loam,428.6325684
alabama,75,21,Developed,silty clay loam,4289.491211
alabama,75,22,Developed,silty clay loam,5432.376465
alabama,75,23,Developed,silty clay loam,1116.789063
alabama,75,24,Developed,silty clay loam,428.6983948
alabama,75,31,Barren,silty clay loam,58.1696892
alabama,75,41,Forest,silty clay loam,14314.49609
alabama,75,41,Forest,silty clay loam,0.0006444
alabama,75,42,Forest,silty clay loam,2391.729981
alabama,75,43,Forest,silty clay loam,1552.705689
alabama,75,43,Forest,silty clay loam,0.0000273
alabama,75,52,Grass/Pasture,silty clay loam,2031.036377
alabama,75,71,Grass/Pasture,silty clay loam,608.5010376
alabama,75,81,Grass/Pasture,silty clay loam,14325.66016
alabama,75,81,Grass/Pasture,silty clay loam,0.0000103
alabama,75,81,Grass/Pasture,silty clay loam,0.0001202
alabama,75,82,Crop,silty clay loam,9155.46875
alabama,75,90,Wetland,silty clay loam,2920.479736
alabama,75,95,Wetland,silty clay loam,4.3480668
alabama,75,11,Water,,14205.10352
alabama,75,21,Developed,,364.0744629
alabama,75,21,Developed,,0.0000069
alabama,75,22,Developed,,191.1409607
alabama,75,23,Developed,,111.669136
alabama,75,24,Developed,,45.8582001
alabama,75,31,Barren,,148.3946991
alabama,75,41,Forest,,3407.233398
alabama,75,42,Forest,,1966.891235
alabama,75,42,Forest,,0.0000222
alabama,75,43,Forest,,519.6871948
alabama,75,43,Forest,,0.0001153
alabama,75,52,Grass/Pasture,,811.0458374
alabama,75,71,Grass/Pasture,,1525.735596
alabama,75,81,Grass/Pasture,,1415.57312
alabama,75,82,Crop,,352.5964661
alabama,75,90,Wetland,,644.7484131
alabama,75,95,Wetland,,64.6717682
alabama,100,21,Developed,clay,1.7133405
alabama,100,41,Forest,clay,18.004797
alabama,100,42,Forest,clay,0.0662321
alabama,100,43,Forest,clay,8.6762524
alabama,100,52,Grass/Pasture,clay,7.0262146
alabama,100,81,Grass/Pasture,clay,8.5861721
alabama,100,11,Water,clay loam,1.2072126
alabama,100,21,Developed,clay loam,80.8651581
alabama,100,22,Developed,clay loam,2.785861
alabama,100,23,Developed,clay loam,1.1899577
alabama,100,31,Barren,clay loam,25.5933704
alabama,100,41,Forest,clay loam,822.2750244
alabama,100,41,Forest,clay loam,0.0000043
alabama,100,42,Forest,clay loam,118.3681412
alabama,100,43,Forest,clay loam,128.1766968
alabama,100,52,Grass/Pasture,clay loam,242.7843933
alabama,100,71,Grass/Pasture,clay loam,53.7756195
alabama,100,81,Grass/Pasture,clay loam,419.6767273
alabama,100,82,Crop,clay loam,107.8358612
alabama,100,90,Wetland,clay loam,17.4208908
alabama,100,95,Wetland,clay loam,4.4821153
alabama,100,11,Water,loam,739.9457397
alabama,100,21,Developed,loam,4171.255371
alabama,100,22,Developed,loam,1270.631348
alabama,100,23,Developed,loam,563.6367188
alabama,100,24,Developed,loam,141.6041412
